File	Package
/epoc32/data/z/private/101f7989/bluetooth/bluetooth_stack.ini	os/bt
/epoc32/data/z/private/101f7989/bluetooth/cmdq.ini	os/bt
/epoc32/data/z/private/101f7989/bluetooth/corehci_symbian.ini	os/bt
/epoc32/data/z/private/101f7989/bluetooth/hctl_bcsp_port3.ini	os/bt
/epoc32/data/z/private/101f7989/bluetooth/hctl_ti.ini	os/bt
/epoc32/data/z/private/101f7989/bluetooth/hctl_uart_original.ini	os/bt
/epoc32/data/z/private/101f7989/bluetooth/tiinit_4.1.21.bts	os/bt
/epoc32/data/z/private/101f7989/bluetooth/tiinit_4.2.38.bts	os/bt
/epoc32/data/z/private/101f7989/esock/bt.bt_v2.esk	os/bt
/epoc32/data/z/private/101f7989/esock/ccp.ini	os/networkingsrv
/epoc32/data/z/private/101f7989/esock/ether802.ini	os/networkingsrv
/epoc32/data/z/private/101f7989/esock/ip.addressinfo_tcpip.esk	os/networkingsrv
/epoc32/data/z/private/101f7989/esock/ip.rtp.esk	mw/ipappprotocols
/epoc32/data/z/private/101f7989/esock/ip.tcpip.esk	os/networkingsrv
/epoc32/data/z/private/101f7989/esock/sip.providers.esk	mw/ipappprotocols
/epoc32/data/z/private/101f7989/esock/smswap.sms.esk	os/cellularsrv
/epoc32/data/z/private/101f7989/esock/smswap.wap.esk	os/cellularsrv
/epoc32/data/z/private/101f7989/esock/tcpip.ini	os/networkingsrv
/epoc32/data/z/private/101f7989/operatorvariants.ini	os/cellularsrv
/epoc32/data/z/private/101f7989/sms/smsu.rsc	os/cellularsrv
/epoc32/data/z/private/101f7a02/backup_registration.xml	os/devicesrv
/epoc32/data/z/private/101f7a02/convertfromunicode.dat	os/devicesrv
/epoc32/data/z/private/101f7a02/customerhwrmfmtxpolicy.ini	os/devicesrv
/epoc32/data/z/private/101f7a02/customerhwrmlightspolicy.ini	os/devicesrv
/epoc32/data/z/private/101f7a02/customerhwrmvibrapolicy.ini	os/devicesrv
/epoc32/data/z/private/101f7a02/producthwrmfmtxpolicy.ini	os/devicesrv
/epoc32/data/z/private/101f7a02/producthwrmlightspolicy.ini	os/devicesrv
/epoc32/data/z/private/101f7a02/producthwrmvibrapolicy.ini	os/devicesrv
