ROM file,Host file,Iby file,Package,In/Out,Who,Why
Private\10003a3f\apps\psln_reg.rsc,/epoc32/data/z/private/10003a3f/apps/psln_reg.rsc,core/mw/psln.iby,mw/classicui,,,
Private\10003a3f\import\apps\PushViewer_reg.rsc,/epoc32/data/z/private/10003a3f/apps/pushviewer_reg.rsc,core/app/PushMtm.iby,app/webuis,,,
Private\10003a3f\import\apps\RoapApp_reg.rsc,/epoc32/data/z/private/10003a3f/apps/roapapp_reg.rsc,core/mw/CodHandler.iby,mw/web,,,
private\10003a3f\import\apps\Satui_reg.rsc,/epoc32/data/z/private/10003a3f/apps/satui_reg.rsc,core/mw/satui.iby,mw/phonesrv,,,
Private\10003a3f\import\apps\SchemeApp_reg.rsc,/epoc32/data/z/private/10003a3f/apps/schemeapp_reg.rsc,core/mw/SchemeHandler.iby,mw/web,,,
Private\10003a3f\import\apps\ScreenGrabber_reg.rsc,/epoc32/data/z/private/10003a3f/apps/screengrabber_reg.rsc,core/tools/screengrabber.iby,app/rndtools,,,
Private\10003a3f\apps\screensaver_reg.rsc,/epoc32/data/z/private/10003a3f/apps/screensaver_reg.rsc,core/mw/screensaver.iby,app/screensaver,,,
Private\10003a3f\import\apps\senduilauncher_reg.rsc,/epoc32/data/z/private/10003a3f/apps/senduilauncher_reg.rsc,core/mw/Senduiservices.iby,mw/messagingmw,,,
Private\10003a3f\import\apps\SendUiServiceResolver_reg.rsc,/epoc32/data/z/private/10003a3f/apps/senduiserviceresolver_reg.rsc,core/mw/Senduiservices.iby,mw/messagingmw,,,
Private\10003a3f\import\apps\SmsViewer_reg.rsc,/epoc32/data/z/private/10003a3f/apps/smsviewer_reg.rsc,core/app/SmsViewer.iby,app/messaging,,,
Private\10003a3f\apps\Speeddial_reg.rsc,/epoc32/data/z/private/10003a3f/apps/speeddial_reg.rsc,core/app/Speeddial.iby,app/contacts,,,
Private\10003a3f\apps\srchuiapp_reg.rsc,/epoc32/data/z/private/10003a3f/apps/srchuiapp_reg.rsc,core/app/searchapp.iby,app/organizer,,,
Private\10003a3f\apps\StartUp_reg.rsc,/epoc32/data/z/private/10003a3f/apps/startup_reg.rsc,core/mw/startup.iby,mw/appsupport,,,
Private\10003a3f\import\apps\Stifui_reg.rsc,/epoc32/data/z/private/10003a3f/apps/stifui_reg.rsc,core/tools/Stifui.iby,app/rndtools,,,
Private\10003a3f\apps\SVGTViewerApp_reg.rsc,/epoc32/data/z/private/10003a3f/apps/svgtviewerapp_reg.rsc,core/app/svgtviewerapp.iby,app/graphicsuis,,,
Private\10003a3f\apps\SWInstSvrUI_reg.rsc,/epoc32/data/z/private/10003a3f/apps/swinstsvrui_reg.rsc,core/mw/AppInstUI.iby,mw/appinstall,,,
Private\10003a3f\apps\SysAp_reg.rsc,/epoc32/data/z/private/10003a3f/apps/sysap_reg.rsc,core/mw/SysAp.iby,mw/appsupport,,,
private\10003a3f\import\apps\taskswitcher_reg.rsc,/epoc32/data/z/private/10003a3f/apps/taskswitcher_reg.rsc,core/mw/taskswitcher.iby,app/homescreen,,,
private\10003a3f\import\apps\tckrunner_reg.rsc,/epoc32/data/z/private/10003a3f/apps/tckrunner_reg.rsc,core/tools/javatest.iby,app/jrt,,,
Private\10003a3f\apps\tiger_reg.rsc,/epoc32/data/z/private/10003a3f/apps/tiger_reg.rsc,tiger.iby,os/graphics,,,
Private\10003a3f\apps\TouchScreenCalib_reg.rsc,/epoc32/data/z/private/10003a3f/apps/touchscreencalib_reg.rsc,core/app/touchscreencalib.iby,app/settingsuis,,,
Private\10003a3f\apps\UISettingsSrv_reg.rsc,/epoc32/data/z/private/10003a3f/apps/uisettingssrv_reg.rsc,core/app/uisettingssrv.iby,app/devicecontrol,,,
Private\10003a3f\import\apps\UITestServerStarter_reg.rsc,/epoc32/data/z/private/10003a3f/apps/uitestserverstarter_reg.rsc,core/tools/Stifui.iby,app/rndtools,,,
Private\10003a3f\import\apps\UniEditor_reg.rsc,/epoc32/data/z/private/10003a3f/apps/unieditor_reg.rsc,core/app/UniEditor.iby,app/messaging,,,
Private\10003a3f\apps\usbclasschangeui_reg.rsc,/epoc32/data/z/private/10003a3f/apps/usbclasschangeui_reg.rsc,core/mw/USBClassChangeUI.iby,mw/usbservices,,,
Private\10003a3f\apps\Ussd_reg.rsc,/epoc32/data/z/private/10003a3f/apps/ussd_reg.rsc,core/app/Ussd.iby,app/phone,,,
Private\10003a3f\apps\vcexecutorapp_reg.rsc,/epoc32/data/z/private/10003a3f/apps/vcexecutorapp_reg.rsc,core/app/srsf.iby,app/speechsrv,,,
